loss,alae
4468750,5571.34
3490000,808363.4
3450000,180756.99
3425000,713552.18
2895000,394624.51
1958925.4,36074.6
1626762.25,326741.49
990000,936229.77
980885.35,13156.44
980885.35,13156.43
959000,36000
943250,47742.58
909489,80509.21
850000,951177.65
845000,108353.4
829000,160785.09
815000,54218.66
745000,126745.78
720099.5,293900.5
700000,300000
687500,171606.41
670000,88787.04
597500,26508.35
595000,85013.07
585000,438241.16
572500,116586.74
560000,83388.54
550000,44518.12
545000,250803.13
500000,113900
497500,324950.18
495000,0
475000,59132.49
473119.74,23380.56
460000,27839.03
430000,64009.13
400000,650000.12
370389.36,0
368667.02,133111.19
359995.89,139004.11
349000,303228.43
349000,17823.88
345000,146.68
345000,0
342016.4,160783.6
340000,218444.39
335000,87588.57
325000,110729.85
319946,180907.94
317500,194675.73
315000,12969.95
300000,154156.29
299000,12984.44
299000,1067.38
298000,57007.29
295000,188791.6
295000,170696.31
292500,30180.66
290000,474737.88
281500,190521.94
277500,55025.42
272500,1128.07
270000,120000
270000,6121.58
265000,46384.12
259023.74,239976.26
246770.96,2229.08
246770.96,2229.07
246770.96,2229.07
245000,285095.34
245000,24027.18
244000,6000
243461.65,1538.35
239000,0
237500,925.32
235000,219409.74
232551.29,14948.71
230000,7130.26
224000,2612.84
220000,13316.35
217500,50
215000,193618.03
215000,95329.44
214000,70053.71
213217.9,34282.1
210000,109500
208916.68,1767626
204500,280742.75
203000,43923.01
200000,249493.09
198765.64,49049.89
197500,43011.77
197500,35551.34
197000,1350000
192500,724.53
190000,254231.24
190000,26395.29
187500,34803.49
187500,20000
175000,243744.16
175000,91000
175000,72986.13
172500,8281.49
170000,84310.93
170000,54842.2
168750,1764
165845.3,97987.66
162541.5,26314.26
155000,145806.49
155000,22353.24
154000,82577.5
152500,23832.61
150000,229000
150000,62082.05
150000,52219
150000,46758.51
150000,6000
150000,6000
149463.11,44286.68
149000,8888.69
147500,76301.74
147500,2421.91
145000,209094.54
145000,38787.28
145000,37724.08
145000,16125.89
145000,13916.67
145000,10650.81
142500,59650.79
142500,27249.03
141665.67,156832.27
140000,204105.35
140000,184987.73
140000,20309.26
140000,776
140000,183.75
136500,9507.86
133750,15639.74
130000,96129.4
130000,53000
130000,41865.79
129000,67837.52
128000,21461.65
125000,123199
125000,30080
125000,9077
122500,33987.53
122500,3150.05
120000,56913.39
120000,49968.22
120000,21094.68
119263.35,2952
118906,2574.4
118750,1590.45
116250,5654.32
115000,0
112750,35241
112500,0
112500,0
110000,79351.59
110000,6016.65
110000,0
107500,29985.81
105012.34,0
105000,36948.43
105000,6766.37
105000,0
104000,65406.15
103500,189733.62
103040.46,73449.47
102500,58284.48
102300,49683.62
101739.8,125814.98
100000,145859.62
100000,112897.08
100000,106713.35
100000,89000
100000,78475
100000,66300
100000,40658.76
100000,24000
100000,9325
100000,0
100000,0